Sample#,eDNA_Sample_Name,SurveyID,Cruise,Set,Station,Date_Collected
1,EDNA20-LAB01,NA,NED2020-025,NA,NA,20-Aug-20
2,EDNA20-474103,474103,NED2020-025,,,
3,EDNA20-478993,478993,NED2020-025,,,
4,EDNA20-478985BLANK,478985-Blank,NED2020-025,,,
5,EDNA20-LAB02,NA,NED2020-025,NA,NA,21-Aug-20
6,EDNA20-478981,478981,NED2020-025,113,245,26-Jul-20
7,EDNA20-474014,474014,NED2020-025,,,
8,EDNA20-474091,474091,NED2020-025,,,
9,EDNA20-474086,474086,NED2020-025,,,
10,EDNA20-474043BLANK,474043-Blank,NED2020-025,,,
11,EDNA20-LAB03,NA,NED2020-025,,,
12,EDNA20-478907,478907,NED2020-025,86,219,22-Jul-20
13,EDNA20-478851,478851,NED2020-025,66,159,
14,EDNA20-478949,478949,NED2020-025,102,182,24-Jul-20
15,EDNA20-478941,478941,NED2020-025,,,
16,EDNA20-478929,478929,NED2020-025,96,186,24-Jul-20
17,EDNA20-478985,478985,NED2020-025,114,238,26-Jul-20
18,EDNA20-478895,478895,NED2020-025,81,203,22-Jul-20
19,EDNA20-474043,474043,NED2020-025,,,
20,EDNA20-478959,478959,NED2020-025,,,
21,EDNA20-474099BLANK,474099-Blank,NED2020-025,,,
22,EDNA20-478959BLANK,478959-Blank,NED2020-025,,,
23,EDNA20-478954,478954,NED2020-025,,,
24,EDNA20-478847,478847,NED2020-025,65,171,20-Jul-20
25,EDNA20-474099,474099,NED2020-025,,,
26,EDNA20-478969,478969,NED2020-025,108,235,25-Jul-20
27,EDNA20-478973BLANK,478973-Blank,NED2020-025,,,
28,EDNA20-478997BLANK,478997-Blank,NED2020-025,,,
29,EDNA20-474198,474198,NED2020-025,,,
30,EDNA20-474143,474143,NED2020-025,,,
31,EDNA20-478989,478989,NED2020-025,,,
32,EDNA20-474107,474107,NED2020-025,,,
33,EDNA20-474079,474079,NED2020-025,,,
34,EDNA20-478933BLANK,478933-Blank,NED2020-025,97,188,24-Jul-20
35,EDNA20-478895BLANK,478895-Blank,NED2020-025,,,
36,EDNA20-478851BLANK,478851-Blank,NED2020-025,66,159-Alt,30-Jul-20
37,EDNA20-474179,474179,NED2020-025,,,
38,EDNA20-478997,478997,NED2020-025,,,
39,EDNA20-478973,478973,NED2020-025,,,
40,EDNA20-478977,478977,NED2020-025,,,
41,EDNA20-474254,474254,NED2020-025,,,
42,EDNA20-474001,474001,NED2020-025,120,231,26-Jul-20
43,EDNA20-474254BLANK,474254-Blank,NED2020-025,,,
44,EDNA20-LAB04,NA,NED2020-025,,,
45,EDNA20-478887,478887,NED2020-025,78,212,22-Jul-20
46,EDNA20-478655,478655,NED2020-025,,,
47,EDNA20-478672,478672,NED2020-025,,,
48,EDNA20-478685,478685,NED2020-025,21,111,
49,EDNA20-478631,478631,NED2020-025,5,121,5-Jul-20
50,EDNA20-478618,478618,NED2020-025,2,102,
51,EDNA20-478748,478748,NED2020-025,41,84,
52,EDNA20-478752,478752,NED2020-025,43,86,
53,EDNA20-478748BLANK,478748-Blank,NED2020-025,,,
54,EDNA20-478672BLANK,478672-Blank,NED2020-025,,,
55,EDNA20-474207,474207,NED2020-025,,,
56,EDNA20-478677,478677,NED2020-025,19,956,10-Jul-20
57,EDNA20-478964,478964,NED2020-025,,,
58,EDNA20-474237,474237,NED2020-025,,,
59,EDNA20-478933,478933,NED2020-025,97,188,24-Jul-20
60,EDNA20-478745,478745,NED2020-025,40,80,
61,EDNA20-478639,478639,NED2020-025,8,112,5-Jul-20
62,EDNA20-478689,478689,NED2020-025,23,116,
63,EDNA20-478635,478635,NED2020-025,,,
64,EDNA20-478706,478706,NED2020-025,29,73,11-Jul-20
65,EDNA20-474005,474005,NED2020-025,,,
66,EDNA20-478867,478867,NED2020-025,71,187,21-Jul-20
67,EDNA20-474217,474217,NED2020-025,,,
68,EDNA20-474148,474148,NED2020-025,,,
69,EDNA20-474160,474160,NED2020-025,,,
70,EDNA20-474175,474175,NED2020-025,,,
71,EDNA20-474198BLANK,474198-Blank,NED2020-025,,,
72,EDNA20-474148BLANK,474148-Blank,NED2020-025,,,
73,EDNA20-478732,478732,NED2020-025,,,
74,EDNA20-478618BLANK,478618-Blank,NED2020-025,,,
75,EDNA20-478655BLANK,478655-Blank,NED2020-025,,,
76,EDNA20-478706BLANK,478706-Blank,NED2020-025,,,
77,EDNA20-LAB05,NA,NED2020-025,,,
78,EDNA20-LAB06,NA,NED2020-025,,,
